"Nom de l'offre";"Description";"URL";"Catégorie";"Mode de lecture";"Mode d'accès";"DRM";"Types d'œuvres";"Compatibilité";"Spécificités";"Régime juridique";"Label"
"Vidéo à volonté";"Vidéo à volonté propose à la location un large choix de programmes audiovisuels. Le catalogue se compose de plusieurs milliers de vidéos à visionner en lecture en continu « streaming » (sans téléchargement préalable) : films, séries TV, documentaires, dessins-animés, mangas, etc.";"http://www.videoavolonte.com/";"VOD & SVOD";"Streaming, Téléchargement";"Carte prépayée";"Sans DRM";"Série TV, Sport / Lifestyle, Cinéma et fiction TV, Documentaire / Émission, Dessin animé / Manga, Film de patrimoine";"Android, GNU / Linux, iOS, Mac Os X, RIM, TV connectée, Web, Windows";"Qualité HD, Sous-titres VOST";"Œuvres protégées";"1"
"Vodeo";"Vodeo.tv propose d'acheter en téléchargement ou de visionner en streaming plus de 5 000 reportages et documentaires de tous genres : nature, découverte, histoire, société, sciences, arts, sports, loisirs et jeunesse. Plus de 30 nouveautés sont intégrées à l’offre chaque mois. Ces programmes, issus des catalogues de différents producteurs français et internationaux, sont accessibles depuis n’importe quel ordinateur compatible PC, Mac, Linux ou tablettes. Ils sont diffusés en streaming HQ (Haute Qualité, soit résolution DVD avec débit supérieur à 2 Mbit/s et un encodage H264).";"http://www.vodeo.tv/";"VOD & SVOD";"Téléchargement, Streaming";"Abonnement, À l'acte";"Sans DRM";"Dessin animé / Manga, Documentaire / Émission, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD";"Œuvres protégées";"1"
"NT1";"Plateforme de télévision de rattrapage de la chaîne NT1, disponible sur différents supports.";"http://videos.nt1.tv/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Série TV, Documentaire / Émission, Sport / Lifestyle, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Librairie Gallimard";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.gallimardnumerique.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"La procure";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://laprocure.epagine.fr/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"La galerne librairie";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.lagalerne.com/boutique/36/ebooks-livres-numeriques-electroniques/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"L'arbre à lettres";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://numerique.arbrealettres.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"L'appel du livre";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://numerique.appeldulivre.fr/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre audio, Livre homothétique";"Domaine public, Œuvres protégées";""
"L'ange bleu";"Plateforme de téléchargement de livres numériques, proposant une offre variée de contenus.";"http://numerique.librairielangebleu.com/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Gilbert joseph";"Plateforme de téléchargement de livres numériques, proposant une offre variée de contenus.";"http://gibertjoseph.epagine.fr/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Gilbert jeune";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://livresnumeriques.gibertjeune.fr/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique, Livre audio";"Œuvres protégées";""
"Phone reader";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger. L'offre est disponible depuis les terminaux Android et iOS.";"http://www.phonereader.com/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Librairie le failler";"Plateforme de téléchargement de livres numériques, proposant une offre variée de contenus.";"http://www.librairielefailler.fr/selec-5368/livres-numeriques/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Les contines de line";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://livreelectronique.lescontinesdeline.com/";"eBook";"Téléchargement";"À l'acte";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre audio, Livre homothétique";"Domaine public, Œuvres protégées";""
"Actes sud";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://numerique.librairieactessud.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Librairie Galignani";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://ebook.galignani.fr/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Librairie Martin-Delbert";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://ebook.martin-delbert.fr/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Non précisé";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"GNU / Linux, Mac Os X, Web, Windows";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Librairie durance";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://ebook.librairiedurance.fr/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Librairie Dialogues";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.librairiedialogues.fr/boutique/3/ebooks-livres-numeriques-electroniques/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Librairie delamain";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.malibrairienumerique.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Librairie cheminant";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.monlibrairenumerique.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Librairie Autrement";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://numerique.sa-autrement.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"L'alinéa";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://livre-numerique.librairielalinea.fr/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Filigranes";"Plateforme de téléchargement de livres numériques, proposant une offre variée de contenus.";"http://filigranes.epagine.fr/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Ernster";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://ernster.numilog.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Sans DRM";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique, Livre audio";"Œuvres protégées, Domaine public";""
"Cultura";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.cultura.com/e-books/e-books.html";"eBook";"Téléchargement";"Gratuit, À l'acte";"Sans DRM";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Livre-et";"Portail web proposant une offre généraliste de livres numériques à télécharger, gratuits ou payants.";"http://www.jy2m.com/Livre-et/";"eBook";"Téléchargement";"Gratuit";"Avec DRM, Sans DRM";"Littérature";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"ABU : la bibliothèque universelle";"Site mettant à disposition des internautes une offre de livres numériques gratuits issus d'œuvres tombées dans le domaine public.";"http://abu.cnam.fr/";"eBook";"Téléchargement";"Gratuit";"Sans DRM";"Littérature, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Steam";"Plateforme de distribution de jeux vidéo et logiciels.";"http://store.steampowered.com/";"Jeu vidéo";"Téléchargement";"Gratuit, À l'acte";"Sans DRM";"Jeu classique, Triple A, Core Gamer, Indépendant, Mod";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Accès hors ligne, Client / Appli";"Œuvres protégées";""
"Toomai";"Toomaï est un site de vente en ligne de logiciels et jeux en téléchargement. Le site propose des logiciels de sécurité, utilitaires, de bureautique, multimédia, de loisir, d’art et culture, éducatif, de traduction, etc. L’offre de jeux est large, proposant des produits à forte notoriété, des jeux de détente ou des jeux ludo-éducatifs. Une classification permet de les trouver rapidement.";"http://www.toomai.fr/";"Jeu vidéo";"Téléchargement";"À l'acte";"Sans DRM";"Jeu classique, Triple A, Core Gamer, Indépendant";"Web, Windows, Mac Os X, GNU / Linux";"Accès hors ligne";"Œuvres protégées";"1"
"Metaboli";"Metaboli est un site internet qui propose aux internautes un catalogue de jeux vidéo en téléchargement et par abonnement.";"http://www.metaboli.fr/";"Jeu vidéo";"Téléchargement, Streaming";"Abonnement";"Sans DRM";"Jeu classique, Triple A, Core Gamer, Indépendant";"Web, Windows, Mac Os X, GNU / Linux";"Accès hors ligne";"Œuvres protégées";""
"Boonty";"La plateforme Boonty propose un service d’achat de jeux vidéo en téléchargement sur internet principalement destiné au public féminin. Une version de démonstration, non payante leur est généralement proposée pour essai. Le catalogue regroupe plus de 2 000 jeux, proposant des jeux dits « casual » (jeux d’action ou d’arcade, jeux de cartes, jeux pour enfant, jeux de réflexion, etc.) et des jeux vidéo à plus forte notoriété (jeux d’action, d’aventures, de stratégie, de sport, etc.).";"http://fr.boonty.com/";"Jeu vidéo";"Téléchargement";"À l'acte";"Sans DRM";"Core Gamer, Indépendant, Casual";"Web, Windows, Mac Os X, GNU / Linux";"Accès hors ligne";"Œuvres protégées";"1"
"Jeu à télécharger";"Jeu-a-telecharger.com est une plateforme de téléchargement de jeux vidéo et logiciels pour PC et Mac. Le catalogue du site propose plus de 700 références à télécharger. L’offre de jeux varie du casual gaming aux jeux cores, classés en plus d’une quinzaine de catégories : arcade/action, stratégie, course, aventure, réflexion, gestion, etc. Des logiciels viennent également compléter l’offre : utilitaires, sécurité, loisir/créatif, éducatif, etc. Le catalogue est enrichi de nombreuses nouveautés chaque semaine.";"http://www.jeu-a-telecharger.com/";"Jeu vidéo";"Téléchargement";"Abonnement";"Sans DRM";"Indépendant, Casual";"Web, Windows, Mac Os X, GNU / Linux";"Accès hors ligne";"Œuvres protégées";"1"
"Kongregate";"Site proposant des jeux en ligne dont certains sont multi-joueurs.";"http://www.kongregate.com";"Jeu vidéo";"Streaming";"Gratuit";"Non précisé";"Core Gamer, Indépendant, Casual";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"";"Œuvres protégées";""
"La bibliothèque d'ebooks";"Site mettant à disposition des internautes une offre généraliste de livres numériques gratuits issus d'œuvres tombées dans le domaine public.";"http://www.bibebook.com/";"eBook";"Téléchargement";"Gratuit";"Sans DRM";"Littérature, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Réimpressions éfélé";"Site mettant à disposition des internautes une offre généraliste de livres numériques gratuits issus d'œuvres tombées dans le domaine public.";"http://efele.net/ebooks/";"eBook";"Téléchargement";"Gratuit";"Non précisé";"Littérature, Auto-édité, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Bibliothèque russe et slave";"Site mettant à disposition des internautes une offre de livres numériques gratuits, tombés dans le domaine public, spécialisés dans la littérature russe et slave.";"http://bibliotheque-russe-et-slave.com/index1.html";"eBook";"Téléchargement";"Gratuit";"Avec DRM, Sans DRM";"Littérature, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Club";"Plateforme de téléchargement de livres numériques, proposant une offre variée de contenus.";"http://clubbe.epagine.fr/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Citebd";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://numerique.librairie.citebd.org/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Athenaeum";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://ebook.athenaeum.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Brouillon de culture";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://livresnumeriques.brouillondeculture.fr/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Sans DRM";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Le serpent qui danse";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.leserpentquidanse.com/";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique, Livre audio";"Œuvres protégées, Domaine public";""
"Espaceculturel";"Service de téléchargement de livres numériques accessible depuis le portail web de l'Espace Culturel Edouard Leclerc, proposant une offre généraliste aux usagers.";"http://www.e-leclerc.com/espace+culturel/livres,01_d";"eBook";"Téléchargement";"À l'acte";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Le pain des rêves";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://www.lepaindesreves.fr/boutique/48/ebooks-livres-numeriques-electroniques/";"eBook";"Streaming, Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"L'enfer";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://enfer.numilog.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Sans DRM";"Jeunesse / Éducatif, Littérature, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique, Livre audio";"Œuvres protégées, Domaine public";""
"Google Chrome Web Store";"Plateforme de distribution de jeux vidéo disponibles sur le navigateur Chrome.";"https://chrome.google.com/webstore/category/app/3-games";"Jeu vidéo";"Streaming";"À l'acte, Gratuit";"Sans DRM";"Jeu classique, Core Gamer, Casual, Indépendant, Triple A";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Librairie Kleber";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger.";"http://numerique.librairie-kleber.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Ave Comics";"Le catalogue AveComics rassemble plus de 2000 bandes dessinées au format numérique issues de plusieurs maisons d’édition françaises et internationales comme Glénat, Les Humanoïdes Associés, Marsu Productions, Casterman, Top Cow… Certaines sont disponibles en plusieurs langues, d’autres incluent même des vidéos ou des effets sonores. Il est possible de voir sur le site et l’application pour smartphone et tablette, les meilleures ventes, la sélection conseillée ainsi que les dernières publications.";"http://www.avecomics.com/fr_fr/";"eBook";"Streaming, Téléchargement";"À l'acte, Carte prépayée, Gratuit";"Avec DRM, Sans DRM";"BD, Jeunesse / Éducatif";"Web, Windows, Mac Os X, iOS, Android, GNU / Linux";"Livre enrichi, Livre homothétique";"Domaine public, Œuvres protégées";"1"
"Edicool";"Site entièrement dédié à la BD, permettant d'accéder aux contenus en streaming via un abonnement.";"http://www.edicool.com/Store/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Littérature, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"Bdfolies";"BDFolies.com est une plateforme de consultation en ligne de bandes dessinées. Le catalogue du site propose plusieurs centaines de références en tout genre : aventure, comics, fantastique, horreur, humour, jeunesse, manga, policier… L’utilisateur constitue sa bibliothèque personnelle de bandes dessinées, lui permettant de les consulter autant de fois qu’il le souhaite et à tout moment, via la zone membre du site. Le catalogue est régulièrement enrichi de nouvelles références.";"http://bdfolies.com/";"eBook";"Streaming";"Abonnement";"Non précisé";"Jeunesse / Éducatif, BD, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";"1"
"Didactibook";"Librairie en ligne permettant le téléchargement de livres numériques issus d'une offre variée de contenus.";"http://www.didactibook.com/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Presse / Revue, Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre audio, Livre homothétique";"Œuvres protégées";""
"Livrespourtous";"Ce site internet offre aux usagers la possibilité d'accéder à des milliers d'œuvres numériques de manière totalement gratuite, en téléchargement ou en streaming.";"http://www.livrespourtous.com/";"eBook";"Téléchargement, Streaming";"Gratuit";"Non précisé";"Jeunesse / Éducatif, Presse / Revue, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique, Livre audio";"Œuvres protégées, Domaine public";""
"Furet";"Librairie en ligne proposant une offre généraliste de livres numériques à télécharger ou à lire en streaming.";"http://ebook.furet.com/";"eBook";"Streaming, Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Licences libres";""
"Decitre";"Librairie en ligne prposant une offre généraliste de livres numériques à télécharger.";"http://www.decitre.fr/ebook.html";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Jeunesse / Éducatif, Presse / Revue, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées, Domaine public";""
"Editions Eni";"Editions ENI propose des livres numériques et des vidéos de formation à l‘informatique.";"http://www.editions-eni.fr/";"eBook";"Streaming";"À l'acte, Abonnement";"Avec DRM, Sans DRM";"Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"U-culture";"Site web de la chaine des supermachés U dédié à la culture, et qui propose un service de téléchargement de livres numériques, gratuits ou payants.";"http://www.uculture.fr/e-books.html";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Bookeen";"Librairie en ligne française, ayant développé sa propre liseuse Cybook et qui propose une offre généraliste de téléchargement de livres numériques.";"http://www.bookeen.com/fr/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Non précisé";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre audio, Livre homothétique";"Domaine public, Œuvres protégées";""
"Zebook";"Librairie en ligne permettant le téléchargement de livres numériques issus d'une offre variée de contenus.";"http://zebook.com/";"eBook";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux";"Livre enrichi, Livre homothétique";"Œuvres protégées, Domaine public";""
"Chapitre";"Chapitre est une librairie en ligne proposant le téléchargement de livres numériques, offrant aux usagers la possibilité de choisir parmi une large gamme de contenus.";"http://telecharger-ebook.chapitre.com";"eBook";"Téléchargement";"Gratuit, À l'acte";"Sans DRM";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Livre enrichi, Livre homothétique";"Œuvres protégées, Domaine public";""
"Immateriel";"Plateforme de téléchargement de livres numériques, proposant une offre variée de contenus.";"http://librairie.immateriel.fr/";"eBook";"Streaming, Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Livre pratique, Littérature, Auto-édité, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Izneo";"izneo est une plateforme de vente et de location de BD numérique sur tous les terminaux couleurs, et développée avec le soutien du Centre National du Livre et des éditeurs de BD. La plateforme izneo propose plus de 3 500 albums et est ouverte à tous les éditeurs et e-librairies. ";"http://www.izneo.com/";"eBook";"Téléchargement, Streaming";"Gratuit, Abonnement, Carte prépayée, À l'acte";"Non précisé";"Jeunesse / Éducatif, Presse / Revue, BD, Format court";"Web, Windows, Mac Os X, iOS, Android";"Livre enrichi, Livre homothétique";"Œuvres protégées";"1"
"Digibidi";"Plateforme de streaming de livres numériques. L'offre est généraliste et accessible gratuitement ou via une formule Premium avec un abonnement mensuel.";"http://www.digibidi.com/";"eBook";"Téléchargement, Streaming";"Gratuit, Carte prépayée, À l'acte";"Non précisé";"Jeunesse / Éducatif, BD, Auto-édité, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";""
"Bdbuzz";"Plateforme de téléchargement et de streaming spécialisée dans la BD, mais proposant aussi des ouvrages et magazines qui portent sur cet univers.";"http://www.bdbuzz.net/";"eBook";"Téléchargement";"Gratuit, Carte prépayée, À l'acte";"Sans DRM";"Jeunesse / Éducatif, BD, Format court";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Livre homothétique";"Œuvres protégées, Licences libres";""
"Delitoon";"Delitoon est un portail européen dédié à la bande dessinée numérique. Delitoon propose aux internautes, des séries et des feuilletons sous forme de bandes dessinées, à l’instar d’une chaine de télévision diffusant ses programmes, sur le modèle des « Webtoon ». Au sein de sa chaine « Repérages », Delitoon permet à des auteurs de s’exprimer pleinement dans le cadre d’une plateforme entièrement dédiée.";"http://www.delitoon.com/";"eBook";"Streaming";"Gratuit";"Non précisé";"Jeunesse / Éducatif, BD, Auto-édité, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Œuvres protégées";"1"
"Youboox";"Youboox est une plateforme de streaming de livres numériques proposant plus des dizaines de milliers de titres provenant de plus de 120 éditeurs dans le respect du droit d’auteur et de la rémunération des éditeurs. De la littérature aux livres pratiques en passant par la science-fiction, la bande dessinée et les guides touristiques: Youboox est une bibliothèque digitale inédite disponible gratuitement ou sur abonnement pour une lecture disponible hors connexion et sans publicité. Le service est disponible sur tous les écrans via des applications développées pour iPad, iPhone, tablette et Smartphones Android.";"http://www.youboox.fr/";"eBook";"Streaming";"Abonnement, Gratuit";"Avec DRM";"Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Android, GNU / Linux, iOS, Mac Os X, Web, Windows";"Accès hors ligne, Livre homothétique";"Œuvres protégées";"1"
"ePagine";"Plateforme de téléchargement de livres numériques, proposant une offre variée de contenus.";"http://www.epagine.fr/";"eBook";"Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Presse / Revue, Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre homothétique";"Domaine public, Œuvres protégées";""
"ikiosque";"I-Kiosque Librairie propose au grand public un catalogue de livres numériques sous droits et protégés. Fondé en 2006, l’ambition d’I-Kiosque est d’être le partenaire des éditeurs et leur offrir de nouveaux outils de développement de leurs ventes de livres (anciens et nouveaux) sous toutes leurs formes (papier, numérique). i-Kiosque fait partie des e-distributeurs sélectionnés par la BNF Gallica pour participer au projet de constitution d’une nouvelle bibliothèque numérique, proposant à la fois des ouvrages patrimoniaux et des ouvrages sous copyright.";"http://librairie.i-kiosque.fr/";"eBook";"Streaming, Téléchargement";"À l'acte, Gratuit";"Avec DRM, Sans DRM";"Presse / Revue, Livre pratique, Littérature, BD, Jeunesse / Éducatif, Format court";"Web, Windows, Mac Os X, GNU / Linux";"Livre enrichi, Livre homothétique";"Domaine public, Œuvres protégées";"1"
